country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",16-06-2026 12:00,9.865935,78.022669,SO2,NA,NA,NA
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",16-06-2026 12:00,8.816428,78.099039,NO2,14,21,16
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",16-06-2026 12:00,8.816428,78.099039,CO,24,64,34
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",16-06-2026 12:00,17.460103,78.334361,PM2.5,3,53,33
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",16-06-2026 12:00,17.470431,78.566959,CO,31,38,33
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",16-06-2026 12:00,17.5184,78.278777,NO2,4,30,18
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",16-06-2026 12:00,26.912329,70.909168,PM10,39,430,175
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",16-06-2026 12:00,25.344694,72.626208,PM2.5,17,50,34
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",16-06-2026 12:00,25.344694,72.626208,NO2,1,19,6
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",16-06-2026 12:00,25.344694,72.626208,NH3,4,6,4
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",16-06-2026 12:00,24.588397,76.172782,NO2,11,78,19
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",16-06-2026 12:00,28.108988,75.386577,PM2.5,NA,NA,NA
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",16-06-2026 12:00,28.108988,75.386577,NH3,NA,NA,NA
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",16-06-2026 12:00,28.108988,75.386577,OZONE,NA,NA,NA
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",16-06-2026 12:00,26.29581,73.082283,OZONE,26,48,36
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",16-06-2026 12:00,26.215415,73.070156,PM2.5,20,37,30
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",16-06-2026 12:00,26.215415,73.070156,NO2,4,10,5
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",16-06-2026 12:00,26.215415,73.070156,SO2,4,5,4
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",16-06-2026 12:00,26.215415,73.070156,CO,7,40,30
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",16-06-2026 12:00,26.358805,73.047444,PM2.5,23,47,33
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",16-06-2026 12:00,26.358805,73.047444,SO2,2,4,3
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",16-06-2026 12:00,26.253384,72.976571,CO,12,17,12
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",16-06-2026 12:00,26.506177,77.025989,PM2.5,NA,NA,NA
India,Rajasthan,Khairthal,"New Anaj Mandi, Khairthal - RSPCB",16-06-2026 12:00,27.8015617,76.6365217,PM10,NA,NA,NA
India,Rajasthan,Khairthal,"New Anaj Mandi, Khairthal - RSPCB",16-06-2026 12:00,27.8015617,76.6365217,CO,14,28,20
India,Rajasthan,Khairthal,"New Anaj Mandi, Khairthal - RSPCB",16-06-2026 12:00,27.8015617,76.6365217,OZONE,12,41,24
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",16-06-2026 12:00,25.16409,75.858137,PM2.5,15,167,40
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",16-06-2026 12:00,25.16409,75.858137,NH3,3,5,4
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",16-06-2026 12:00,25.16409,75.858137,CO,2,89,33
